Year,Mediul de reședință,Age group,Level of education,Wealth quintiles ,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,15-24,,,
2010,,25-34,,,
2010,,35-44,,,
2010,,45-54,,,
2010,,55-65,,,
2010,,,Higher,,
2010,,,Secondary specialized,,
2010,,,Secondary vocational,,
2010,,,Secondary school,,
2010,,,Gymnasium,,
2010,,,,I,
2010,,,,II,
2010,,,,III,
2010,,,,IV,
2010,,,,V,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,15-24,,,
2011,,25-34,,,
2011,,35-44,,,
2011,,45-54,,,
2011,,55-65,,,
2011,,,Higher,,
2011,,,Secondary specialized,,
2011,,,Secondary vocational,,
2011,,,Secondary school,,
2011,,,Gymnasium,,
2011,,,,I,
2011,,,,II,
2011,,,,III,
2011,,,,IV,
2011,,,,V,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,15-24,,,
2012,,25-34,,,
2012,,35-44,,,
2012,,45-54,,,
2012,,55-65,,,
2012,,,Higher,,
2012,,,Secondary specialized,,
2012,,,Secondary vocational,,
2012,,,Secondary school,,
2012,,,Gymnasium,,
2012,,,,I,
2012,,,,II,
2012,,,,III,
2012,,,,IV,
2012,,,,V,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,15-24,,,
2013,,25-34,,,
2013,,35-44,,,
2013,,45-54,,,
2013,,55-65,,,
2013,,,Higher,,
2013,,,Secondary specialized,,
2013,,,Secondary vocational,,
2013,,,Secondary school,,
2013,,,Gymnasium,,
2013,,,,I,
2013,,,,II,
2013,,,,III,
2013,,,,IV,
2013,,,,V,
2014,,,,,
2014,Urban,,,,
2014,Rural,,,,
2014,,15-24,,,
2014,,25-34,,,
2014,,35-44,,,
2014,,45-54,,,
2014,,55-65,,,
2014,,,Higher,,
2014,,,Secondary specialized,,
2014,,,Secondary vocational,,
2014,,,Secondary school,,
2014,,,Gymnasium,,
2014,,,,I,
2014,,,,II,
2014,,,,III,
2014,,,,IV,
2014,,,,V,
2015,,,,,
2015,Urban,,,,
2015,Rural,,,,
2015,,15-24,,,
2015,,25-34,,,
2015,,35-44,,,
2015,,45-54,,,
2015,,55-65,,,
2015,,,Higher,,
2015,,,Secondary specialized,,
2015,,,Secondary vocational,,
2015,,,Secondary school,,
2015,,,Gymnasium,,
2015,,,,I,
2015,,,,II,
2015,,,,III,
2015,,,,IV,
2015,,,,V,
2016,,,,,
2016,Urban,,,,
2016,Rural,,,,
2016,,15-24,,,
2016,,25-34,,,
2016,,35-44,,,
2016,,45-54,,,
2016,,55-65,,,
2016,,,Higher,,
2016,,,Secondary specialized,,
2016,,,Secondary vocational,,
2016,,,Secondary school,,
2016,,,Gymnasium,,
2016,,,,I,
2016,,,,II,
2016,,,,III,
2016,,,,IV,
2016,,,,V,
2017,,,,,
2017,Urban,,,,
2017,Rural,,,,
2017,,15-24,,,
2017,,25-34,,,
2017,,35-44,,,
2017,,45-54,,,
2017,,55-65,,,
2017,,,Higher,,
2017,,,Secondary specialized,,
2017,,,Secondary vocational,,
2017,,,Secondary school,,
2017,,,Gymnasium,,
2017,,,,I,
2017,,,,II,
2017,,,,III,
2017,,,,IV,
2017,,,,V,
2018,,,,,
2018,Urban,,,,
2018,Rural,,,,
2018,,15-24,,,
2018,,25-34,,,
2018,,35-44,,,
2018,,45-54,,,
2018,,55-65,,,
2018,,,Higher,,
2018,,,Secondary specialized,,
2018,,,Secondary vocational,,
2018,,,Secondary school,,
2018,,,Gymnasium,,
2018,,,,I,
2018,,,,II,
2018,,,,III,
2018,,,,IV,
2018,,,,V,
2019,,,,,
2019,Urban,,,,
2019,Rural,,,,
2019,,15-24,,,
2019,,25-34,,,
2019,,35-44,,,
2019,,45-54,,,
2019,,55-65,,,
2019,,,Higher,,
2019,,,Secondary specialized,,
2019,,,Secondary vocational,,
2019,,,Secondary school,,
2019,,,Gymnasium,,
2019,,,,I,
2019,,,,II,
2019,,,,III,
2019,,,,IV,
2019,,,,V,
2020,,,,,
2020,Urban,,,,
2020,Rural,,,,
2020,,15-24,,,
2020,,25-34,,,
2020,,35-44,,,
2020,,45-54,,,
2020,,55-65,,,
2020,,,Higher,,
2020,,,Secondary specialized,,
2020,,,Secondary vocational,,
2020,,,Secondary school,,
2020,,,Gymnasium,,
2020,,,,I,
2020,,,,II,
2020,,,,III,
2020,,,,IV,
2020,,,,V,
2021,,,,,
2021,Urban,,,,
2021,Rural,,,,
2021,,15-24,,,
2021,,25-34,,,
2021,,35-44,,,
2021,,45-54,,,
2021,,55-65,,,
2021,,,Higher,,
2021,,,Secondary specialized,,
2021,,,Secondary vocational,,
2021,,,Secondary school,,
2021,,,Gymnasium,,
2021,,,,I,
2021,,,,II,
2021,,,,III,
2021,,,,IV,
2021,,,,V,
2022,,,,,
2022,Urban,,,,
2022,Rural,,,,
2022,,15-24,,,
2022,,25-34,,,
2022,,35-44,,,
2022,,45-54,,,
2022,,55-65,,,
2022,,,Higher,,
2022,,,Secondary specialized,,
2022,,,Secondary vocational,,
2022,,,Secondary school,,
2022,,,Gymnasium,,
2022,,,,I,
2022,,,,II,
2022,,,,III,
2022,,,,IV,
2022,,,,V,
