Year,Activități economice,Value
2010,,
2010,"Agricultura, silvicultura și pescuit",
2010,Industria extractivă,
2010,Industria prelucrătoare,
2010,"Production and supply of electric energy and heat, gas and hot water",
2011,,
2011,"Agricultura, silvicultura și pescuit",
2011,Industria extractivă,
2011,Industria prelucrătoare,
2011,"Production and supply of electric energy and heat, gas and hot water",
2012,,
2012,"Agricultura, silvicultura și pescuit",
2012,Industria extractivă,
2012,Industria prelucrătoare,
2012,"Production and supply of electric energy and heat, gas and hot water",
2013,,
2013,"Agricultura, silvicultura și pescuit",
2013,Industria extractivă,
2013,Industria prelucrătoare,
2013,"Production and supply of electric energy and heat, gas and hot water",
2014,,147.3
2014,"Agricultura, silvicultura și pescuit",223.7
2014,Industria extractivă,4.3
2014,Industria prelucrătoare,781.6
2014,"Production and supply of electric energy and heat, gas and hot water",4.5
2015,,164.8
2015,"Agricultura, silvicultura și pescuit",232.3
2015,Industria extractivă,4.22
2015,Industria prelucrătoare,864.5
2015,"Production and supply of electric energy and heat, gas and hot water",6.06
2016,,180.6
2016,"Agricultura, silvicultura și pescuit",242.0
2016,Industria extractivă,3.43
2016,Industria prelucrătoare,938.5
2016,"Production and supply of electric energy and heat, gas and hot water",6.7
2017,,195.5
2017,"Agricultura, silvicultura și pescuit",261.8
2017,Industria extractivă,4.27
2017,Industria prelucrătoare,1032.2
2017,"Production and supply of electric energy and heat, gas and hot water",7.1
2018,,209.8
2018,"Agricultura, silvicultura și pescuit",233.9
2018,Industria extractivă,5.77
2018,Industria prelucrătoare,1119.8
2018,"Production and supply of electric energy and heat, gas and hot water",7.16
2019,,230.3
2019,"Agricultura, silvicultura și pescuit",252.5
2019,Industria extractivă,7.05
2019,Industria prelucrătoare,1200.0
2019,"Production and supply of electric energy and heat, gas and hot water",7.07
2020,,219.8
2020,"Agricultura, silvicultura și pescuit",207.9
2020,Industria extractivă,7.25
2020,Industria prelucrătoare,1345.0
2020,"Production and supply of electric energy and heat, gas and hot water",5.92
2021,,266.5
2021,"Agricultura, silvicultura și pescuit",308.7
2021,Industria extractivă,8.64
2021,Industria prelucrătoare,1555.0
2021,"Production and supply of electric energy and heat, gas and hot water",7.41
2022,,279.7
2022,"Agricultura, silvicultura și pescuit",259.0
2022,Industria extractivă,5.84
2022,Industria prelucrătoare,1692.0
2022,"Production and supply of electric energy and heat, gas and hot water",6.15
