Year,Mediu de reședință,Sex,Grupa de vârstă,Statut socioeconomic,Value
2010,,,,,25.1
2010,Urban,,,,
2010,Rural,,,,
2010,,Bărbați,,,
2010,,Femei,,,
2010,,,15-24,,
2010,,,25-34,,
2010,,,35-44,,
2010,,,45-54,,
2010,,,55+,,
2010,,,,Scăzut,
2010,,,,Mediu,
2010,,,,Înalt,
2011,,,,,18.0
2011,Urban,,,,
2011,Rural,,,,
2011,,Bărbați,,,
2011,,Femei,,,
2011,,,15-24,,
2011,,,25-34,,
2011,,,35-44,,
2011,,,45-54,,
2011,,,55+,,
2011,,,,Scăzut,
2011,,,,Mediu,
2011,,,,Înalt,
2012,,,,,14.9
2012,Urban,,,,
2012,Rural,,,,
2012,,Bărbați,,,
2012,,Femei,,,
2012,,,15-24,,
2012,,,25-34,,
2012,,,35-44,,
2012,,,45-54,,
2012,,,55+,,
2012,,,,Scăzut,
2012,,,,Mediu,
2012,,,,Înalt,
2013,,,,,15.5
2013,Urban,,,,
2013,Rural,,,,
2013,,Bărbați,,,
2013,,Femei,,,
2013,,,15-24,,
2013,,,25-34,,
2013,,,35-44,,
2013,,,45-54,,
2013,,,55+,,
2013,,,,Scăzut,
2013,,,,Mediu,
2013,,,,Înalt,
2014,,,,,22.2
2014,Urban,,,,
2014,Rural,,,,
2014,,Bărbați,,,
2014,,Femei,,,
2014,,,15-24,,
2014,,,25-34,,
2014,,,35-44,,
2014,,,45-54,,
2014,,,55+,,
2014,,,,Scăzut,
2014,,,,Mediu,
2014,,,,Înalt,
2015,,,,,11.9
2015,Urban,,,,
2015,Rural,,,,
2015,,Bărbați,,,
2015,,Femei,,,
2015,,,15-24,,
2015,,,25-34,,
2015,,,35-44,,
2015,,,45-54,,
2015,,,55+,,
2015,,,,Scăzut,
2015,,,,Mediu,
2015,,,,Înalt,
2016,,,,,7.8
2016,Urban,,,,
2016,Rural,,,,
2016,,Bărbați,,,
2016,,Femei,,,
2016,,,15-24,,
2016,,,25-34,,
2016,,,35-44,,
2016,,,45-54,,
2016,,,55+,,
2016,,,,Scăzut,
2016,,,,Mediu,
2016,,,,Înalt,
2017,,,,,13.6
2017,Urban,,,,
2017,Rural,,,,
2017,,Bărbați,,,
2017,,Femei,,,
2017,,,15-24,,
2017,,,25-34,,
2017,,,35-44,,
2017,,,45-54,,
2017,,,55+,,
2017,,,,Scăzut,
2017,,,,Mediu,
2017,,,,Înalt,
2018,,,,,15.6
2018,Urban,,,,
2018,Rural,,,,
2018,,Bărbați,,,
2018,,Femei,,,
2018,,,15-24,,
2018,,,25-34,,
2018,,,35-44,,
2018,,,45-54,,
2018,,,55+,,
2018,,,,Scăzut,
2018,,,,Mediu,
2018,,,,Înalt,
2019,,,,,26.1
2019,Urban,,,,
2019,Rural,,,,
2019,,Bărbați,,,
2019,,Femei,,,
2019,,,15-24,,
2019,,,25-34,,
2019,,,35-44,,
2019,,,45-54,,
2019,,,55+,,
2019,,,,Scăzut,
2019,,,,Mediu,
2019,,,,Înalt,
2020,,,,,19.0
2020,Urban,,,,
2020,Rural,,,,
2020,,Bărbați,,,
2020,,Femei,,,
2020,,,15-24,,
2020,,,25-34,,
2020,,,35-44,,
2020,,,45-54,,
2020,,,55+,,
2020,,,,Scăzut,
2020,,,,Mediu,
2020,,,,Înalt,
2021,,,,,18.5
2021,Urban,,,,19.5
2021,Rural,,,,17.8
2021,,Bărbați,,,18.3
2021,,Femei,,,18.7
2021,,,15-24,,
2021,,,25-34,,28.4
2021,,,35-44,,20.3
2021,,,45-54,,12.9
2021,,,55+,,15.8
2021,,,,Scăzut,14.0
2021,,,,Mediu,19.4
2021,,,,Înalt,20.6
2022,,,,,17.7
2022,Urban,,,,20.6
2022,Rural,,,,15.2
2022,,Bărbați,,,16.9
2022,,Femei,,,18.5
2022,,,15-24,,
2022,,,25-34,,21.3
2022,,,35-44,,20.6
2022,,,45-54,,15.5
2022,,,55+,,14.6
2022,,,,Scăzut,14.0
2022,,,,Mediu,16.5
2022,,,,Înalt,23.1
2023,,,,,22.5
2023,Urban,,,,25.1
2023,Rural,,,,20.4
2023,,Bărbați,,,25.0
2023,,Femei,,,20.3
2023,,,15-24,,
2023,,,25-34,,28.3
2023,,,35-44,,23.4
2023,,,45-54,,20.6
2023,,,55+,,19.6
2023,,,,Scăzut,18.5
2023,,,,Mediu,22.8
2023,,,,Înalt,25.3
